run_id,dataset,channel,selection,k,factor_index,factor_name,accuracy_mean,accuracy_std,repeats
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,16,3,orientation,0.0368,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,16,4,position_x,0.13,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,16,5,position_y,0.1226,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,16,0,color,1.0,0.0,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,16,1,shape,0.448308,0.0043449652740066005,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,16,2,scale,0.363468,0.00895944713301512,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,16,3,orientation,0.035858,0.0025653944111673132,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,16,4,position_x,0.11738799999999999,0.007044838787037893,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,16,5,position_y,0.11504199999999999,0.007175902153539422,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,16,0,color,1.0,0.0,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,16,1,shape,0.45027999999999996,0.004438302188426279,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,16,2,scale,0.36102,0.005131081757290567,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,16,3,orientation,0.03694,0.002414081496901919,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,16,4,position_x,0.11821,0.008764395676767874,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,16,5,position_y,0.11241000000000001,0.005154650429721844,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,32,0,color,1.0,0.0,1
